candidate_id,years_experience,education_level,skills,experience_description,position_applied,suitable
CAND_0001,6,master,"teamwork, agile, python, linux, nodejs, leadership, kubernetes, java","Worked as consultant for 6 years with expertise in teamwork, agile, python",consultant,1
CAND_0002,11,associate,"kubernetes, react, data analysis, communication, scrum","Worked as consultant for 11 years with expertise in kubernetes, react, data analysis",consultant,0
CAND_0003,8,associate,"azure, agile, machine learning","Worked as consultant for 8 years with expertise in azure, agile, machine learning",consultant,0
CAND_0004,17,associate,"scrum, javascript, data analysis","Worked as designer for 17 years with expertise in scrum, javascript, data analysis",designer,0
CAND_0005,14,phd,"git, leadership","Worked as developer for 14 years with expertise in git, leadership",developer,1
CAND_0006,15,phd,"docker, agile, azure, sql, data analysis","Worked as manager for 15 years with expertise in docker, agile, azure",manager,1
CAND_0007,6,high_school,"scrum, nodejs, communication, kubernetes, python, leadership","Worked as designer for 6 years with expertise in scrum, nodejs, communication",designer,1
CAND_0008,11,master,"leadership, kubernetes, nodejs, aws, scrum, sql, java","Worked as designer for 11 years with expertise in leadership, kubernetes, nodejs",designer,1
CAND_0009,16,high_school,"aws, sql, leadership, git, teamwork","Worked as analyst for 16 years with expertise in aws, sql, leadership",analyst,1
CAND_0010,11,associate,"git, kubernetes, scrum, leadership, project management, docker, communication, sql","Worked as designer for 11 years with expertise in git, kubernetes, scrum",designer,1
CAND_0011,18,master,"docker, data analysis","Worked as designer for 18 years with expertise in docker, data analysis",designer,1
CAND_0012,0,master,"project management, machine learning, leadership, java, docker, statistics","Worked as consultant for 0 years with expertise in project management, machine learning, leadership",consultant,1
CAND_0013,2,high_school,"linux, nodejs, agile","Worked as consultant for 2 years with expertise in linux, nodejs, agile",consultant,0
CAND_0014,13,phd,"statistics, project management, excel, teamwork, leadership, git, azure","Worked as manager for 13 years with expertise in statistics, project management, excel",manager,1
CAND_0015,13,phd,"teamwork, statistics, sql, machine learning, react","Worked as manager for 13 years with expertise in teamwork, statistics, sql",manager,1
CAND_0016,7,high_school,"java, aws, machine learning, scrum","Worked as developer for 7 years with expertise in java, aws, machine learning",developer,0
CAND_0017,1,associate,"javascript, kubernetes","Worked as manager for 1 years with expertise in javascript, kubernetes",manager,0
CAND_0018,2,master,"azure, javascript, sql","Worked as consultant for 2 years with expertise in azure, javascript, sql",consultant,0
CAND_0019,4,phd,"data analysis, communication, java, javascript, teamwork","Worked as manager for 4 years with expertise in data analysis, communication, java",manager,1
CAND_0020,4,master,"kubernetes, data analysis, statistics, nodejs, teamwork","Worked as analyst for 4 years with expertise in kubernetes, data analysis, statistics",analyst,1
CAND_0021,18,bachelor,"git, teamwork, sql, data analysis, machine learning","Worked as consultant for 18 years with expertise in git, teamwork, sql",consultant,1
CAND_0022,1,bachelor,"linux, data analysis, java, nodejs, project management, python, javascript, communication","Worked as developer for 1 years with expertise in linux, data analysis, java",developer,1
CAND_0023,6,phd,"aws, machine learning","Worked as designer for 6 years with expertise in aws, machine learning",designer,1
CAND_0024,19,bachelor,"communication, python, agile, git, scrum, java, kubernetes, data analysis","Worked as analyst for 19 years with expertise in communication, python, agile",analyst,1
CAND_0025,10,bachelor,"react, scrum, python, sql, javascript, azure, aws, machine learning","Worked as analyst for 10 years with expertise in react, scrum, python",analyst,1
CAND_0026,19,high_school,"communication, kubernetes, scrum, azure, linux, python","Worked as developer for 19 years with expertise in communication, kubernetes, scrum",developer,1
CAND_0027,16,high_school,"scrum, project management, agile, communication, java, python, leadership","Worked as developer for 16 years with expertise in scrum, project management, agile",developer,1
CAND_0028,13,high_school,"git, statistics, python, kubernetes, project management, teamwork, agile","Worked as consultant for 13 years with expertise in git, statistics, python",consultant,1
CAND_0029,3,bachelor,"leadership, sql","Worked as developer for 3 years with expertise in leadership, sql",developer,1
CAND_0030,0,high_school,"linux, sql, communication, leadership, aws, statistics, azure, nodejs","Worked as analyst for 0 years with expertise in linux, sql, communication",analyst,0
CAND_0031,4,associate,"react, azure, leadership, machine learning","Worked as analyst for 4 years with expertise in react, azure, leadership",analyst,0
CAND_0032,2,bachelor,"excel, leadership, teamwork, docker, communication","Worked as analyst for 2 years with expertise in excel, leadership, teamwork",analyst,1
CAND_0033,14,bachelor,"azure, react, project management, kubernetes, statistics, nodejs, teamwork, excel","Worked as manager for 14 years with expertise in azure, react, project management",manager,1
CAND_0034,5,phd,"machine learning, leadership, java, teamwork, kubernetes, project management","Worked as analyst for 5 years with expertise in machine learning, leadership, java",analyst,1
CAND_0035,18,bachelor,"docker, sql, communication, excel, javascript, linux","Worked as consultant for 18 years with expertise in docker, sql, communication",consultant,1
CAND_0036,3,high_school,"sql, agile, python, machine learning","Worked as developer for 3 years with expertise in sql, agile, python",developer,0
CAND_0037,5,bachelor,"communication, scrum, data analysis, git, react, java, excel, aws","Worked as manager for 5 years with expertise in communication, scrum, data analysis",manager,1
CAND_0038,14,high_school,"agile, excel, communication, scrum","Worked as designer for 14 years with expertise in agile, excel, communication",designer,0
CAND_0039,8,bachelor,"statistics, project management, agile, azure, teamwork, scrum, nodejs, leadership","Worked as manager for 8 years with expertise in statistics, project management, agile",manager,1
