candidate_id,years_experience,education_level,skills,experience_description,position_applied,suitable
CAND_0001,6,master,"teamwork, kubernetes, leadership, excel, python, nodejs","Worked as junior_developer for 6 years with expertise in teamwork, kubernetes, leadership",junior_developer,1
CAND_0002,11,high_school,"git, react, communication, docker","Worked as developer for 11 years with expertise in git, react, communication",developer,1
CAND_0003,1,master,"python, linux, project management, teamwork, statistics","Worked as senior_developer for 1 years with expertise in python, linux, project management",senior_developer,0
CAND_0004,3,master,"java, data analysis, javascript, linux, sql, agile, kubernetes","Worked as intern for 3 years with expertise in java, data analysis, javascript",intern,1
CAND_0005,18,high_school,"docker, git, react, sql","Worked as junior_developer for 18 years with expertise in docker, git, react",junior_developer,1
CAND_0006,2,high_school,"java, agile, data analysis, excel, nodejs, communication","Worked as manager for 2 years with expertise in java, agile, data analysis",manager,0
CAND_0007,14,bachelor,"linux, javascript, communication, machine learning, teamwork, agile","Worked as designer for 14 years with expertise in linux, javascript, communication",designer,1
CAND_0008,19,phd,"azure, scrum, aws, java","Worked as intern for 19 years with expertise in azure, scrum, aws",intern,1
CAND_0009,1,bachelor,"nodejs, kubernetes, react, teamwork, docker, sql","Worked as developer for 1 years with expertise in nodejs, kubernetes, react",developer,0
CAND_0010,5,phd,"scrum, communication, kubernetes","Worked as designer for 5 years with expertise in scrum, communication, kubernetes",designer,1
CAND_0011,8,high_school,"kubernetes, aws, azure, statistics, machine learning, git, data analysis, docker","Worked as junior_developer for 8 years with expertise in kubernetes, aws, azure",junior_developer,1
CAND_0012,8,high_school,"leadership, docker, nodejs, project management","Worked as manager for 8 years with expertise in leadership, docker, nodejs",manager,1
CAND_0013,15,phd,"docker, statistics, java, leadership, machine learning","Worked as intern for 15 years with expertise in docker, statistics, java",intern,1
CAND_0014,1,phd,"teamwork, communication, java, project management, leadership","Worked as developer for 1 years with expertise in teamwork, communication, java",developer,0
CAND_0015,2,master,"machine learning, sql, aws, agile, nodejs","Worked as developer for 2 years with expertise in machine learning, sql, aws",developer,0
CAND_0016,6,phd,"machine learning, azure, teamwork, aws, agile, data analysis, react, kubernetes","Worked as fresher for 6 years with expertise in machine learning, azure, teamwork",fresher,1
CAND_0017,16,master,"git, leadership, azure, teamwork, java, excel, statistics","Worked as fresher for 16 years with expertise in git, leadership, azure",fresher,1
CAND_0018,18,high_school,"excel, azure, sql, javascript, docker, project management, leadership, react","Worked as junior_developer for 18 years with expertise in excel, azure, sql",junior_developer,1
CAND_0019,15,bachelor,"scrum, javascript, data analysis, react, teamwork, communication, java","Worked as consultant for 15 years with expertise in scrum, javascript, data analysis",consultant,1
CAND_0020,9,associate,"teamwork, agile, leadership","Worked as manager for 9 years with expertise in teamwork, agile, leadership",manager,1
CAND_0021,4,master,"statistics, linux","Worked as manager for 4 years with expertise in statistics, linux",manager,0
CAND_0022,1,bachelor,"linux, data analysis, java, nodejs, project management, python, javascript, communication","Worked as intern for 1 years with expertise in linux, data analysis, java",intern,1
CAND_0023,6,phd,"aws, machine learning, communication, java, project management, kubernetes, leadership, nodejs","Worked as developer for 6 years with expertise in aws, machine learning, communication",developer,1
CAND_0024,19,bachelor,"communication, python, agile, git, scrum, java, kubernetes, data analysis","Worked as fresher for 19 years with expertise in communication, python, agile",fresher,1
CAND_0025,10,bachelor,"react, scrum, python, sql, javascript, azure, aws, machine learning","Worked as analyst for 10 years with expertise in react, scrum, python",analyst,1
CAND_0026,19,high_school,"communication, kubernetes","Worked as senior_developer for 19 years with expertise in communication, kubernetes",senior_developer,1
CAND_0027,16,high_school,"azure, leadership","Worked as junior_developer for 16 years with expertise in azure, leadership",junior_developer,1
