candidate_id,years_experience,education_level,skills,experience_description,position_applied,suitable
CAND_0001,2,bachelor,"adaptability, communication, problem solving, microservices, aws","Experienced fullstack developer with 2 years working with adaptability, communication, problem solving",fullstack_developer,0
CAND_0002,9,phd,"critical thinking, communication, teamwork, prototyping, html, design","Experienced designer with 9 years working with critical thinking, communication, teamwork",designer,1
CAND_0003,0,phd,"adaptability, communication, excel, business intelligence, process modeling, sql","Experienced business analyst with 0 years working with adaptability, communication, excel",business_analyst,1
CAND_0004,2,master,"python, communication, docker, c#, programming, problem solving, javascript","Experienced software developer with 2 years working with python, communication, docker",software_developer,1
CAND_0005,8,master,"project management, risk management, stakeholder management, teamwork, agile, scrum, pmp","Experienced project manager with 8 years working with project management, risk management, stakeholder management",project_manager,1
CAND_0006,9,bachelor,"numpy, python, critical thinking, statistics, creativity, machine learning, problem solving, sql","Experienced data scientist with 9 years working with numpy, python, critical thinking",data_scientist,1
CAND_0007,1,bachelor,"critical thinking, time management, responsive design, webpack, vue, teamwork, javascript, html, css, figma","Experienced frontend developer with 1 years working with critical thinking, time management, responsive design",frontend_developer,1
CAND_0008,5,high_school,"linux, communication, kubernetes, docker, jenkins, ansible, azure, monitoring","Experienced devops engineer with 5 years working with linux, communication, kubernetes",devops_engineer,1
CAND_0009,5,master,"indesign, web design, illustrator, typography, time management, photoshop","Experienced graphic designer with 5 years working with indesign, web design, illustrator",graphic_designer,0
CAND_0010,3,bachelor,"problem solving, git, agile, programming","Experienced developer with 3 years working with problem solving, git, agile",developer,1
CAND_0011,0,high_school,"time management, statistics, data visualization, tableau","Experienced data analyst with 0 years working with time management, statistics, data visualization",data_analyst,0
CAND_0012,4,bachelor,"api, communication, docker, leadership, teamwork, sql","Experienced backend developer with 4 years working with api, communication, docker",backend_developer,1
CAND_0013,0,bachelor,"statistics, data analysis, excel, tableau, leadership, powerbi, reporting","Experienced analyst with 0 years working with statistics, data analysis, excel",analyst,1
CAND_0014,0,master,"leadership, communication, project management","Experienced project manager with 0 years working with leadership, communication, project management",project_manager,1
CAND_0015,2,master,"critical thinking, adaptability, statistics, spark, machine learning, pytorch, scipy","Experienced data scientist with 2 years working with critical thinking, adaptability, statistics",data_scientist,0
CAND_0016,0,phd,"html, communication, time management, typescript, vue, mongodb, php, javascript, css, nodejs","Experienced web developer with 0 years working with html, communication, time management",web_developer,1
CAND_0017,1,master,"problem solving, machine learning, data visualization","Experienced data analyst with 1 years working with problem solving, machine learning, data visualization",data_analyst,0
CAND_0018,0,master,"design, teamwork","Experienced designer with 0 years working with design, teamwork",designer,1
CAND_0019,9,associate,"python, communication, time management, creativity, powerbi","Experienced business analyst with 9 years working with python, communication, time management",business_analyst,0
CAND_0020,7,phd,"teamwork, c++, programming","Experienced software developer with 7 years working with teamwork, c++, programming",software_developer,1
CAND_0021,7,bachelor,"critical thinking, python, pandas, excel, tableau, teamwork, sql","Experienced data analyst with 7 years working with critical thinking, python, pandas",data_analyst,1
CAND_0022,0,master,"critical thinking, python, testing, leadership, c++, agile, javascript","Experienced software developer with 0 years working with critical thinking, python, testing",software_developer,0
CAND_0023,7,high_school,"teamwork, webpack, typescript","Experienced frontend developer with 7 years working with teamwork, webpack, typescript",frontend_developer,0
CAND_0024,7,bachelor,"critical thinking, responsive design, react, vue, javascript, html, css","Experienced frontend developer with 7 years working with critical thinking, responsive design, react",frontend_developer,1
CAND_0025,0,phd,"adaptability, jira, project management, risk management, teamwork, agile","Experienced project manager with 0 years working with adaptability, jira, project management",project_manager,1
CAND_0026,3,bachelor,"adaptability, roadmap planning, creativity, analytics, teamwork, agile","Experienced product manager with 3 years working with adaptability, roadmap planning, creativity",product_manager,0
CAND_0027,2,phd,"critical thinking, ui/ux, adaptability, prototyping, design, sketch","Experienced ui ux designer with 2 years working with critical thinking, ui/ux, adaptability",ui_ux_designer,1
CAND_0028,1,master,"critical thinking, adaptability, adobe creative suite, creativity, design","Experienced graphic designer with 1 years working with critical thinking, adaptability, adobe creative suite",graphic_designer,1
CAND_0029,7,phd,"angular, teamwork, responsive design","Experienced frontend developer with 7 years working with angular, teamwork, responsive design",frontend_developer,0
CAND_0030,7,master,"creativity, reporting, sql","Experienced analyst with 7 years working with creativity, reporting, sql",analyst,0
CAND_0031,12,associate,"critical thinking, adaptability, problem solving, postgresql, mongodb, javascript, html, css, sql","Experienced fullstack developer with 12 years working with critical thinking, adaptability, problem solving",fullstack_developer,1
